tx_id,customer_id,amount,compliance_label,latency_ms,fraud_risk_flag
7c85d330,CUST_3302,289,0,255,0
7bdba301,CUST_7182,3555,1,141,1
03c5d9ef,CUST_4865,4439,1,230,0
b10c5490,CUST_2902,4007,1,245,0
331768c9,CUST_9166,4630,1,131,0
80858489,CUST_9536,1981,0,75,0
5cc12e41,CUST_2611,3020,1,273,0
cb566ef6,CUST_7772,3576,1,261,0
6549b8a1,CUST_1583,3379,1,165,0
37a2e5ed,CUST_1582,4477,1,300,0
3667b0bf,CUST_9319,2926,1,159,0
955d529e,CUST_7579,1830,0,163,0
5c4ff659,CUST_6583,1233,0,283,0
0db6eda3,CUST_6970,2724,1,279,0
4ab17a2e,CUST_2969,2012,1,204,0
4e9b38c3,CUST_1036,4134,1,93,0
24e944e6,CUST_1833,2254,1,174,0
125228ef,CUST_9223,3025,1,260,0
a1ac4f3c,CUST_6697,921,0,123,0
08a7fa54,CUST_4963,3765,1,112,1
9a06e7d9,CUST_4703,3472,1,92,0
34161287,CUST_9941,1779,0,199,0
25237efd,CUST_1512,2192,1,191,0
06a2d53f,CUST_4562,3670,1,295,0
c9fdb4ec,CUST_5180,2979,1,135,0
044b71a2,CUST_7053,755,0,61,0
8766fad9,CUST_6590,3575,1,256,0
1b448fed,CUST_4246,1764,0,180,0
d07b6fc7,CUST_5354,2535,1,62,0
9ce794de,CUST_5232,2279,1,100,0
adbf28ae,CUST_4237,2895,1,241,0
2b1191b9,CUST_2498,4623,1,50,0
563cbfad,CUST_7842,1819,0,77,1
bbc69012,CUST_1156,3192,1,130,0
387a439a,CUST_9367,1641,0,217,0
8eaffddd,CUST_1821,4669,1,219,0
b2351430,CUST_9828,1988,0,85,0
5aa6a96b,CUST_5237,2664,1,120,0
142957e4,CUST_8894,4897,1,239,0
8dccc2fa,CUST_7758,1305,0,268,0
08e875c5,CUST_6598,764,0,97,0
2fcc2e86,CUST_3599,3418,1,268,0
add245cd,CUST_1904,1911,0,247,0
a6a30278,CUST_6922,1920,0,212,0
02211965,CUST_7135,2483,1,83,0
e6ed841b,CUST_8728,2369,1,92,0
b2d1807c,CUST_8586,2179,1,110,0
8509858d,CUST_5173,4241,1,196,0
f1cd93e3,CUST_4886,4507,1,187,0
aa5e1a98,CUST_8670,3502,1,83,0
1bfbb311,CUST_1990,3791,1,141,0
1b52bff0,CUST_2976,2687,1,202,0
37bc7644,CUST_8235,4362,1,179,0
0bbeb832,CUST_5968,3829,1,156,0
298f612f,CUST_4457,1928,0,144,0
f8db0ad8,CUST_1234,4660,1,68,1
e0504c7d,CUST_8452,3487,1,285,0
29dcf02d,CUST_4468,2669,1,60,0
0268dec0,CUST_2859,1303,0,253,0
e0ae3251,CUST_6077,3660,1,275,0
4078946e,CUST_2546,3942,1,189,0
514db291,CUST_4255,4870,1,139,0
0e71ad47,CUST_8079,1312,0,67,0
cc2cf794,CUST_8724,4237,1,150,0
0a0a235f,CUST_2032,1698,0,59,0
6a9b2baa,CUST_3615,4285,1,184,0
8ea27626,CUST_3888,3726,1,214,0
7e06ece8,CUST_3202,3320,1,118,0
942bf324,CUST_2826,1853,0,138,0
ba0dd9bc,CUST_1086,633,0,184,0
d5c73a81,CUST_7475,136,0,253,0
7e141930,CUST_6857,3243,1,268,0
4a6e3bd2,CUST_3207,542,0,201,0
6a7ecbf7,CUST_2619,3513,1,151,0
af79f93d,CUST_2152,215,0,165,0
b576149d,CUST_3301,3812,1,277,0
bf01638b,CUST_4509,2286,1,190,0
c8508bfe,CUST_5871,926,0,265,0
24d38ea8,CUST_6488,4900,1,246,1
08f11db0,CUST_5486,3555,1,258,0
d3d8b407,CUST_9834,1110,0,150,0
7037db41,CUST_7333,1525,0,222,0
637e7d3d,CUST_1759,1174,0,88,0
c55e74db,CUST_5504,2550,1,272,0
20ff021f,CUST_2603,4047,1,51,0
47f4cb99,CUST_4269,4317,1,207,0
b5ee44db,CUST_6570,4962,1,84,0
c4baca0f,CUST_2654,679,0,228,0
0804d3a5,CUST_8782,3223,1,223,0
ac8f403c,CUST_4187,1997,0,112,0
9be3e631,CUST_4259,3793,1,207,0
272ab279,CUST_2922,3593,1,147,0
631f532f,CUST_8567,1272,0,134,0
e67c9cc6,CUST_7301,255,0,125,0
b8085554,CUST_8627,1528,0,238,0
a0bb9695,CUST_9887,1164,0,235,0
c27ed3f5,CUST_8810,2920,1,186,0
727fd56a,CUST_5325,3197,1,186,0
3b51b937,CUST_3972,4764,1,50,0
f93317ac,CUST_8775,906,0,288,0
5cc04d1a,CUST_9650,1406,0,135,0
4efc894f,CUST_5549,1289,0,94,1
419625cf,CUST_8586,1345,0,264,0
d9aa5d76,CUST_4231,4098,1,97,0
ea8ff583,CUST_9014,3517,1,183,0
6d9af145,CUST_1739,2959,1,221,0
a2b6667d,CUST_3628,2072,1,96,0
9401e8b0,CUST_5640,3119,1,180,0
c80ee94d,CUST_9550,242,0,287,0
0ef67727,CUST_6229,1789,0,147,0
b814b3a8,CUST_1521,4695,1,210,0
bb792150,CUST_9016,3862,1,192,0
7ce3980c,CUST_1423,640,0,296,0
7044f914,CUST_8795,3685,1,264,0
f732df4d,CUST_8549,4541,1,58,0
40152331,CUST_4786,151,0,292,0
d9d33093,CUST_7025,839,0,279,0
4ee9a1ff,CUST_2941,3494,1,147,0
c871c319,CUST_7969,2305,1,213,0
449b1e47,CUST_9039,1980,0,61,0
dcd4be06,CUST_2113,4423,1,235,1
0c5c34e4,CUST_2231,652,0,251,0
2b545ffc,CUST_8099,3156,1,266,0
15357bb6,CUST_3234,4347,1,167,0
7223c362,CUST_3055,2523,1,72,0
ecb6eab5,CUST_9188,2318,1,211,0
3d6063b1,CUST_6577,1822,0,134,0
3a229e43,CUST_1051,316,0,141,0
76364910,CUST_6928,4653,1,228,0
bacb9995,CUST_2627,2805,1,279,0
250e14da,CUST_9410,148,0,232,0
494a6f8f,CUST_6778,126,0,212,0
ca507ced,CUST_6632,218,0,112,0
49e544f9,CUST_3790,199,0,269,0
891bbe07,CUST_6267,3538,1,288,0
2c0f83e4,CUST_3740,4491,1,139,0
3d9a35bd,CUST_3981,4098,1,122,0
cc689fcd,CUST_4537,2626,1,172,0
1cfbef42,CUST_2614,154,0,225,0
24073cd3,CUST_6292,249,0,255,0
109cc3b9,CUST_3671,3355,1,72,0
f36bbecf,CUST_3108,977,0,77,0
289829ea,CUST_1909,421,0,266,0
5d8c786b,CUST_3082,1672,0,112,0
76ef3749,CUST_4832,2004,1,269,0
ea4f6542,CUST_4039,2094,1,300,0
4d2b8964,CUST_9442,4334,1,115,0
1fecd055,CUST_6758,372,0,258,0
d5565ab9,CUST_9129,1572,0,152,0
9ab5b137,CUST_7023,1758,0,228,0
5f247b35,CUST_4649,553,0,109,0
8442d6a2,CUST_5997,4123,1,114,0
d0919ced,CUST_9476,1949,0,225,0
e82dfdb5,CUST_5737,4089,1,130,0
3489bab8,CUST_5080,4592,1,294,0
41a0b404,CUST_1009,2905,1,102,0
3dc10686,CUST_3104,1366,0,82,0
0848792c,CUST_3951,1915,0,58,0
2be7cdea,CUST_7838,2890,1,193,0
e1efb9dc,CUST_6314,1291,0,81,0
52e69c32,CUST_7083,4782,1,122,0
6c43bdbd,CUST_3629,4976,1,70,0
1699146a,CUST_5186,735,0,256,0
6759f6c4,CUST_4924,1257,0,217,0
86bfd169,CUST_8133,1635,0,262,0
e59ad573,CUST_3869,1187,0,255,0
ce83d9c0,CUST_8156,4796,1,142,0
826ad28b,CUST_1902,4003,1,220,0
4189087a,CUST_8256,514,0,118,0
7c324e22,CUST_8820,1213,0,267,0
34d21ca5,CUST_4976,3118,1,74,0
2fc5b331,CUST_1173,496,0,54,0
9f25ba8c,CUST_7418,1889,0,130,0
b28ccbb4,CUST_9372,1946,0,263,0
5596d67e,CUST_4300,2057,1,165,0
63adfae5,CUST_9493,779,0,57,0
0ed68fd1,CUST_8268,893,0,232,0
3a0d2f6e,CUST_1307,1891,0,113,0
72f52271,CUST_7297,4497,1,189,0
ed885415,CUST_6958,1711,0,90,0
524db2be,CUST_3782,2014,1,140,1
3f00de86,CUST_3476,3812,1,277,0
8fca6eb4,CUST_4228,3115,1,220,0
ade30db8,CUST_6893,2305,1,113,0
c3527fbd,CUST_1041,2990,1,209,0
7b9f87fa,CUST_5753,2249,1,110,0
c1f357a1,CUST_8361,3993,1,85,0
36dae128,CUST_9644,400,0,156,0
61e1813a,CUST_5903,1217,0,78,0
5a426302,CUST_4052,2560,1,126,0
6356c989,CUST_9249,4965,1,214,0
4dbf1127,CUST_9523,2529,1,81,0
1baca1b7,CUST_1633,2298,1,290,0
c71f3fbb,CUST_1117,410,0,71,0
f02aa30b,CUST_6961,4721,1,185,0
8cb8cfe4,CUST_2111,460,0,241,0
57bf91ca,CUST_4712,3952,1,127,0
5f01da89,CUST_4776,3032,1,225,0
b037521e,CUST_9993,4663,1,81,0
a1384a24,CUST_5415,4853,1,300,0
17d8b4d7,CUST_4268,4953,1,167,0
520cbbc1,CUST_8843,1615,0,233,0
934011a5,CUST_6635,3739,1,84,0
b2e13cb4,CUST_4930,3153,1,97,0
ddd7d1d8,CUST_1535,991,0,180,0
5453f03b,CUST_2309,4198,1,181,0
592be389,CUST_8578,2659,1,91,1
94a8dd83,CUST_7151,4210,1,50,0
67118109,CUST_9227,3195,1,92,0
54706240,CUST_6796,1782,0,159,0
e900b107,CUST_8099,3227,1,263,0
0f8a10da,CUST_8251,422,0,162,0
5a92413d,CUST_5916,820,0,163,0
d991f2ca,CUST_9081,2146,1,163,0
320d24fe,CUST_6925,4754,1,117,0
c14fbe07,CUST_8559,4476,1,53,0
44dea5b5,CUST_9956,1857,0,141,0
d217ca42,CUST_4495,555,0,93,0
0b0f8080,CUST_8249,1538,0,80,0
1d348ab6,CUST_6240,1520,0,57,0
938b118b,CUST_9342,3951,1,125,1
afaa6405,CUST_5348,856,0,177,0
0c50286a,CUST_5104,1954,0,207,0
500ae41a,CUST_4656,2417,1,258,1
ab71217a,CUST_4012,3782,1,101,0
ab7456a7,CUST_9253,3966,1,95,0
22a7bdcf,CUST_3464,298,0,225,0
4f0a8254,CUST_5774,183,0,272,0
35540dd5,CUST_2803,1491,0,199,1
a13ede7c,CUST_7709,4506,1,244,0
7ae19f64,CUST_7886,4013,1,65,0
200b113c,CUST_3716,3114,1,114,0
872aee20,CUST_7796,2295,1,219,0
4f251f9e,CUST_3501,3351,1,218,0
b60bd6a7,CUST_3245,3486,1,273,0
1623c27b,CUST_4777,4960,1,170,0
2974df57,CUST_8591,1804,0,116,0
1b15e268,CUST_5604,3030,1,214,0
79b44830,CUST_6071,4601,1,182,0
90b88eb4,CUST_1149,4562,1,200,1
ed4aacee,CUST_4222,1491,0,270,0
d2b47079,CUST_1059,4771,1,219,0
bd0445ad,CUST_8298,3896,1,183,0
57703281,CUST_5270,3934,1,72,0
6b8692bd,CUST_9783,1031,0,164,0
36485afd,CUST_1960,598,0,216,0
49e32499,CUST_5186,2183,1,225,0
7d4fbe35,CUST_7559,1146,0,144,0
068bdf8a,CUST_8858,1699,0,244,0
9d87686b,CUST_5216,1806,0,104,0
1b22ac53,CUST_2092,4891,1,185,1
bf9f7535,CUST_8296,3095,1,114,0
cfacd2e3,CUST_4484,470,0,134,0
43a6a102,CUST_8218,4160,1,62,0
adcb6726,CUST_9263,4718,1,291,0
3787d8f7,CUST_7349,2434,1,236,0
7b12375f,CUST_1045,3005,1,76,0
28c78d69,CUST_2987,4388,1,198,0
2b226837,CUST_2387,3872,1,162,1
394d0493,CUST_9782,4279,1,152,0
ece5b0d0,CUST_4766,1595,0,101,0
125d8bbf,CUST_6370,2473,1,216,0
1eb89437,CUST_2792,4077,1,212,0
82e9f09c,CUST_4084,2063,1,101,0
5da682f3,CUST_2576,2849,1,253,0
fe85e8a3,CUST_8557,2005,1,64,0
5cc8e684,CUST_1490,3804,1,181,0
4332a7e6,CUST_1612,1901,0,202,1
4e617c47,CUST_8751,795,0,67,0
3555203a,CUST_3011,152,0,243,0
88d528a4,CUST_3621,1553,0,100,0
53e614a7,CUST_9803,321,0,175,0
a4402c57,CUST_7708,214,0,158,1
5677ced2,CUST_7153,1375,0,57,0
ced56c93,CUST_7345,1864,0,51,0
27312152,CUST_7537,2199,1,91,0
ce5d2248,CUST_4584,1957,0,247,0
18685083,CUST_7669,2242,1,134,0
873cfe37,CUST_1699,1470,0,131,0
52bed849,CUST_7020,442,0,239,0
4d2eb299,CUST_5533,805,0,163,0
c5408b5d,CUST_6136,1013,0,209,0
fd6211b5,CUST_1870,4506,1,210,0
7f0b5f62,CUST_7411,1448,0,281,0
0e86f5c8,CUST_3664,2080,1,276,0
bd3037bd,CUST_2897,4552,1,276,0
2b732dad,CUST_1804,2107,1,207,0
2217afa8,CUST_2633,2013,1,151,0
7ecb8b68,CUST_4184,4951,1,161,0
47e46f68,CUST_2613,324,0,288,0
c0873171,CUST_9634,2614,1,214,0
ef97a72e,CUST_9364,4760,1,294,0
7210f069,CUST_3491,126,0,204,0
e580ed73,CUST_7074,2163,1,130,0
63d23665,CUST_1520,2956,1,220,0
4529a054,CUST_5610,2579,1,194,0
13199ca3,CUST_8037,2945,1,195,0
dcf10b42,CUST_4457,3166,1,144,0
8ed6b12a,CUST_2353,847,0,112,0
dcaaafad,CUST_3426,4840,1,189,0
757bd38a,CUST_7382,1386,0,196,0
83519a52,CUST_1625,1813,0,231,0
743b194a,CUST_6621,1084,0,66,0
292c98ef,CUST_4733,1384,0,61,0
c6d523cc,CUST_7661,1886,0,194,0
ca94580b,CUST_6381,1696,0,284,0
7380926b,CUST_1266,1446,0,183,0
a72c50e6,CUST_8042,4303,1,242,1
5b067fc2,CUST_6288,4434,1,97,0
9c82ca6e,CUST_1647,3872,1,101,0
08df8f46,CUST_6111,3797,1,199,0
06e2bb5d,CUST_5421,153,0,176,0
ca916f88,CUST_1056,1645,0,214,0
0f75baf6,CUST_5124,2879,1,269,0
a0efe77e,CUST_5986,1293,0,182,0
03347a23,CUST_8276,731,0,81,0
c462ae7e,CUST_6200,3130,1,145,0
ed2039b5,CUST_6589,4762,1,192,0
0e48ecbb,CUST_2457,2270,1,69,0
26996047,CUST_1098,951,0,127,0
43ba63b3,CUST_4715,1672,0,123,0
1667d753,CUST_3030,684,0,185,0
373d9b48,CUST_1698,1718,0,214,0
e3333377,CUST_8338,1816,0,68,0
abcd51cc,CUST_5603,1100,0,183,0
6e12f131,CUST_1957,1822,0,99,0
12e07ece,CUST_4389,4794,1,65,0
3666cbc6,CUST_2479,2364,1,129,0
af9a4ee9,CUST_5918,3082,1,212,0
8f21bd3b,CUST_7421,4041,1,191,0
69d26f7c,CUST_2689,4485,1,294,0
82fd1139,CUST_2681,686,0,129,0
326c1b82,CUST_2078,4955,1,220,0
e6ecb03a,CUST_6511,4867,1,162,0
38bcb5a3,CUST_9979,2118,1,233,0
b5582d2b,CUST_3296,322,0,242,0
2caee9b0,CUST_7896,3374,1,175,0
02955508,CUST_2723,2370,1,80,0
da546639,CUST_4292,3859,1,283,1
b5152478,CUST_1984,1150,0,165,0
1d9f0c1c,CUST_9280,4203,1,194,0
0144d1c9,CUST_6885,554,0,163,0
d7694ad7,CUST_3273,4745,1,192,0
9eaba9aa,CUST_9343,2619,1,50,0
84f926a5,CUST_1207,2733,1,168,0
bf70ac90,CUST_5570,1677,0,236,0
fecdfaec,CUST_3156,578,0,193,0
396b9dd5,CUST_1856,3418,1,273,0
42d36103,CUST_9133,2792,1,295,0
e885d87f,CUST_9383,1551,0,221,0
ffa9798a,CUST_5408,1512,0,104,0
f81ac2aa,CUST_4354,1816,0,286,0
421af68b,CUST_2348,4588,1,241,0
bd8782f1,CUST_9525,2193,1,174,0
3f5afafc,CUST_9364,3456,1,101,0
a74455e6,CUST_4452,2211,1,198,0
84090a77,CUST_6221,4550,1,272,0
72d62a8f,CUST_4643,1087,0,176,0
cc688f12,CUST_4408,1093,0,151,0
aa99417a,CUST_1326,3369,1,288,0
692c3306,CUST_3773,1703,0,285,0
20ea06d6,CUST_7987,712,0,68,0
7a373568,CUST_3664,3178,1,99,0
519e069f,CUST_6574,4565,1,146,0
f4bd9055,CUST_6386,4573,1,248,0
01c8a77d,CUST_8511,2160,1,120,0
9b325973,CUST_1287,1470,0,213,0
2c635089,CUST_6962,3310,1,183,1
6b4d51fd,CUST_3434,1731,0,241,0
80ecc9f9,CUST_4376,4916,1,102,0
8ad57744,CUST_1768,4224,1,292,0
4dbcd7ea,CUST_3702,4492,1,69,0
0cd4b7fe,CUST_1685,1141,0,151,0
8e214a50,CUST_5228,4420,1,141,0
ec2884fb,CUST_2229,1657,0,230,0
0d6105d8,CUST_3004,2591,1,93,0
aff46abd,CUST_6225,1458,0,235,0
f372ff15,CUST_9909,3344,1,105,0
dc6df6f7,CUST_3784,455,0,152,0
8a17828d,CUST_9990,4635,1,296,0
fefa1d50,CUST_7984,4496,1,274,0
a0fbc3ba,CUST_9939,1635,0,150,0
d95acbc9,CUST_7589,1539,0,269,0
f4f760cc,CUST_6376,4374,1,186,0
e49f2632,CUST_6970,4425,1,102,0
117ae7f6,CUST_7983,3231,1,133,0
123c273b,CUST_4993,1382,0,238,0
07324863,CUST_3224,3657,1,147,0
1f0ea991,CUST_2023,2379,1,209,0
1872a335,CUST_9392,1853,0,86,0
5fd7c89f,CUST_2199,1633,0,251,0
5bb58b7e,CUST_4372,2152,1,89,0
0c182f21,CUST_2776,4776,1,177,0
588bc790,CUST_4208,2302,1,166,0
6f7126a7,CUST_9362,2267,1,70,0
f91fbd67,CUST_1805,4654,1,105,0
9de8536c,CUST_2735,1257,0,281,0
c75a77eb,CUST_2919,4644,1,246,0
0db04a7b,CUST_6503,1680,0,90,0
5033eaf8,CUST_9484,1930,0,132,0
4e13f882,CUST_2409,4354,1,162,0
851157bd,CUST_8810,1214,0,103,0
6b01b200,CUST_6713,263,0,180,0
5bd35195,CUST_4204,4018,1,61,0
f5874b95,CUST_7997,2932,1,81,0
feaa4639,CUST_2088,2622,1,182,0
59b2cc39,CUST_8030,2708,1,93,0
5a80ca11,CUST_8285,1384,0,247,0
f7b21c31,CUST_7900,510,0,154,0
7cc0aeab,CUST_9841,402,0,178,0
48351b05,CUST_9767,2465,1,80,0
bd8c5a91,CUST_5223,1200,0,229,0
599ef0cb,CUST_2440,1328,0,102,0
f82d3a2e,CUST_2445,798,0,114,0
bd75bc28,CUST_9011,2545,1,199,0
cf642c9d,CUST_8067,3966,1,284,0
de8a9c69,CUST_4770,3387,1,158,0
23c7106d,CUST_6133,4964,1,243,0
d7ee73dc,CUST_1487,804,0,133,0
23c86171,CUST_2723,2202,1,197,0
638c6d49,CUST_1073,1195,0,150,0
e0742c76,CUST_3328,855,0,187,0
9c1bd633,CUST_7002,1310,0,103,0
9c5e355d,CUST_4374,3333,1,233,0
7a2530aa,CUST_7762,2443,1,229,0
c571c041,CUST_1292,199,0,146,0
b0e18643,CUST_2085,4142,1,275,0
5997049d,CUST_5734,330,0,162,0
570253d7,CUST_8278,4889,1,159,0
6aae8c96,CUST_2095,1932,0,237,0
0b9c378b,CUST_7304,2605,1,183,0
331f49d1,CUST_1722,4911,1,295,0
2aa16d1a,CUST_9094,2063,1,104,0
7ddc0bfb,CUST_3687,3684,1,121,0
10b189e8,CUST_9485,3444,1,56,0
15a0deb3,CUST_6711,380,0,143,0
517e6cd5,CUST_7061,2299,1,213,1
38b7724a,CUST_1650,4409,1,95,0
0f245cb0,CUST_1341,3401,1,234,0
bcda12f5,CUST_3618,1913,0,152,0
4c222613,CUST_9067,3770,1,201,0
29574799,CUST_2934,261,0,213,0
287ea6c7,CUST_8574,2324,1,145,0
57dda6d5,CUST_4396,4514,1,155,0
61bc0f2e,CUST_5360,1560,0,132,0
4dfe8f1e,CUST_7831,2458,1,53,0
60432798,CUST_5020,4572,1,199,0
e881f2f4,CUST_4342,932,0,196,0
fb5b376a,CUST_8793,1695,0,122,0
20998fd6,CUST_5533,1693,0,258,0
a9572ccd,CUST_4197,1048,0,52,0
21394aed,CUST_2758,3300,1,133,0
366a8a7f,CUST_6199,2063,1,120,0
c8a8589d,CUST_9811,3296,1,162,0
01d528e7,CUST_8729,4299,1,191,0
2bba9b55,CUST_4485,3540,1,100,0
51315147,CUST_9788,2658,1,173,0
fda778ec,CUST_7366,102,0,249,0
2f3756cf,CUST_9219,3817,1,278,0
d40237e8,CUST_1643,3582,1,102,0
9aa7d638,CUST_2605,3341,1,133,0
f05824dc,CUST_7781,4671,1,175,0
a90786be,CUST_5882,469,0,231,0
42f9bb7e,CUST_6663,4161,1,208,0
bd3dc2ce,CUST_2905,3715,1,211,0
ab13f7b5,CUST_1083,3392,1,84,0
a8a67e31,CUST_8869,2043,1,235,0
cb8c1f5f,CUST_9239,1348,0,294,0
6f0e496e,CUST_8582,2133,1,223,0
996743d4,CUST_5208,322,0,57,0
48d785d4,CUST_2022,734,0,81,0
9e8aecdc,CUST_1676,1158,0,59,0
330c1cfa,CUST_8141,614,0,108,0
491db81c,CUST_9035,4356,1,106,0
7b620dea,CUST_5869,2384,1,72,0
113f35fe,CUST_7816,3441,1,167,0
d17e9b50,CUST_5428,509,0,217,0
67749179,CUST_4615,2100,1,198,0
01b3ef70,CUST_9361,2329,1,241,0
df2e422a,CUST_6380,4677,1,258,0
84f35c93,CUST_7133,2071,1,178,0
70ee5bc6,CUST_1978,4803,1,281,0
e53cb8c3,CUST_2814,484,0,249,0
54f35391,CUST_4188,4241,1,238,0
8b9a1dd8,CUST_8588,3448,1,288,0
6fd98eb1,CUST_2487,373,0,78,0
83f0cb62,CUST_2281,2042,1,164,0
05a7944b,CUST_7811,564,0,185,0
feb344c9,CUST_9619,240,0,172,0
6caa2327,CUST_3907,118,0,103,0
34a056e4,CUST_8032,4722,1,262,0
b4ec3841,CUST_4077,2874,1,148,0
eec51deb,CUST_7469,520,0,158,0
c629d8d6,CUST_2364,3729,1,191,0
56b1c4f8,CUST_5565,2883,1,185,0
6c3ac467,CUST_4099,1702,0,274,0
1daaa1b3,CUST_1081,736,0,98,0
cc941c59,CUST_4748,929,0,188,0
c6a06e20,CUST_2612,2007,1,162,0
5b0d9fe2,CUST_8154,4280,1,224,0
314873fa,CUST_1431,4901,1,58,0
d2d327f9,CUST_9509,4529,1,211,0
e860cc2c,CUST_6360,857,0,285,0
94244585,CUST_1476,2044,1,170,0
573019a6,CUST_9210,4441,1,80,0
a1fd0b7e,CUST_5646,4122,1,141,0
3fc4f61e,CUST_2709,4164,1,90,0
5b8eef7d,CUST_7013,3998,1,91,0
040fa75c,CUST_1692,2471,1,72,0
e46ca7fe,CUST_8681,4065,1,284,0
84b4e13f,CUST_1615,2236,1,108,0
02ebf982,CUST_2412,2219,1,170,0
d765dd1d,CUST_1374,529,0,61,0
