transaction_id,customer,amount,is_compliant
TXN0086,Customer86,16256,1
TXN0087,Customer87,99684,0
TXN0088,Customer88,18906,1
TXN0089,Customer89,16288,1
TXN0090,Customer90,32806,1
TXN0091,Customer91,9644,1
TXN0092,Customer92,12293,1
TXN0093,Customer93,5123,1
TXN0094,Customer94,3474,1
TXN0095,Customer95,87776,0
TXN0096,Customer96,81737,0
TXN0097,Customer97,94160,0
TXN0098,Customer98,12776,1
TXN0099,Customer99,86201,0
TXN0100,Customer100,66256,0
TXN0101,Customer101,66503,0
TXN0102,Customer102,1268,1
TXN0103,Customer103,36010,1
TXN0104,Customer104,4194,1
TXN0105,Customer105,70850,0
TXN0106,Customer106,10260,1
TXN0107,Customer107,70875,0
TXN0108,Customer108,73251,0
TXN0109,Customer109,2451,1
TXN0110,Customer110,70848,0
TXN0111,Customer111,64246,0
TXN0112,Customer112,994,1
TXN0113,Customer113,42376,1
TXN0114,Customer114,63176,0
TXN0115,Customer115,24703,1
TXN0116,Customer116,16893,1
TXN0117,Customer117,37039,1
TXN0118,Customer118,95323,0
TXN0119,Customer119,71891,0
TXN0120,Customer120,2185,1
TXN0121,Customer121,64945,0
TXN0122,Customer122,94623,0
TXN0123,Customer123,78317,0
TXN0124,Customer124,37463,1
TXN0125,Customer125,60533,0
TXN0126,Customer126,68681,0
TXN0127,Customer127,439,1
TXN0128,Customer128,75032,0
TXN0129,Customer129,19689,1
TXN0130,Customer130,27362,1
TXN0131,Customer131,14068,1
TXN0132,Customer132,35782,1
TXN0133,Customer133,75700,0
TXN0134,Customer134,74793,0
TXN0135,Customer135,13523,1
TXN0136,Customer136,22973,1
TXN0137,Customer137,94442,0
TXN0138,Customer138,65721,0
TXN0139,Customer139,73350,0
TXN0140,Customer140,81257,0
TXN0141,Customer141,16579,1
TXN0142,Customer142,8856,1
TXN0143,Customer143,40813,1
TXN0144,Customer144,55302,0
TXN0145,Customer145,18168,1
TXN0146,Customer146,41628,1
TXN0147,Customer147,59747,0
TXN0148,Customer148,46650,1
TXN0149,Customer149,15555,1
TXN0150,Customer150,64007,0
TXN0151,Customer151,38974,1
TXN0152,Customer152,63425,0
TXN0153,Customer153,7877,1
TXN0154,Customer154,75163,0
TXN0155,Customer155,21549,1
TXN0156,Customer156,98150,0
TXN0157,Customer157,58358,0
TXN0158,Customer158,84260,0
TXN0159,Customer159,56244,0
TXN0160,Customer160,3791,1
TXN0161,Customer161,49923,1
TXN0162,Customer162,38523,1
TXN0163,Customer163,36814,1
TXN0164,Customer164,8385,1
TXN0165,Customer165,77723,0
TXN0166,Customer166,73755,0
TXN0167,Customer167,87387,0
TXN0168,Customer168,74234,0
TXN0169,Customer169,45820,1
TXN0170,Customer170,73807,0
TXN0171,Customer171,71409,0
TXN0172,Customer172,62077,0
TXN0173,Customer173,45726,1
TXN0174,Customer174,86827,0
TXN0175,Customer175,19470,1
TXN0176,Customer176,41982,1
TXN0177,Customer177,32672,1
TXN0178,Customer178,70884,0
TXN0179,Customer179,47068,1
TXN0180,Customer180,43996,1
TXN0181,Customer181,17254,1
TXN0182,Customer182,36247,1
TXN0183,Customer183,87914,0
TXN0184,Customer184,4590,1
TXN0185,Customer185,52645,0
TXN0186,Customer186,88817,0
TXN0187,Customer187,87894,0
TXN0188,Customer188,3943,1
TXN0189,Customer189,94238,0
TXN0190,Customer190,30289,1
TXN0191,Customer191,58988,0
TXN0192,Customer192,20815,1
TXN0193,Customer193,9803,1
TXN0194,Customer194,89618,0
TXN0195,Customer195,44496,1
TXN0196,Customer196,4643,1
TXN0197,Customer197,77582,0
TXN0198,Customer198,75640,0
TXN0199,Customer199,4418,1
TXN0200,Customer200,23185,1
TXN0201,Customer201,40441,1
TXN0202,Customer202,33981,1
TXN0203,Customer203,43840,1
TXN0204,Customer204,94630,0
TXN0205,Customer205,19668,1
TXN0206,Customer206,61542,0
TXN0207,Customer207,73785,0
TXN0208,Customer208,99037,0
TXN0209,Customer209,82566,0
TXN0210,Customer210,55426,0
TXN0211,Customer211,71331,0
TXN0212,Customer212,50713,0
TXN0213,Customer213,99778,0
TXN0214,Customer214,49334,1
TXN0215,Customer215,97063,0
TXN0216,Customer216,4828,1
TXN0217,Customer217,38541,1
TXN0218,Customer218,46517,1
TXN0219,Customer219,63360,0
TXN0220,Customer220,87268,0
TXN0221,Customer221,92151,0
TXN0222,Customer222,46291,1
TXN0223,Customer223,91815,0
TXN0224,Customer224,86543,0
TXN0225,Customer225,15395,1
TXN0226,Customer226,35534,1
TXN0227,Customer227,92177,0
TXN0228,Customer228,76500,0
TXN0229,Customer229,91396,0
TXN0230,Customer230,31799,1
TXN0231,Customer231,17324,1
TXN0232,Customer232,7209,1
TXN0233,Customer233,5173,1
TXN0234,Customer234,98040,0
TXN0235,Customer235,81869,0
TXN0236,Customer236,67556,0
TXN0237,Customer237,9515,1
TXN0238,Customer238,19742,1
TXN0239,Customer239,94607,0
TXN0240,Customer240,45568,1
TXN0241,Customer241,82872,0
TXN0242,Customer242,11722,1
TXN0243,Customer243,4376,1
TXN0244,Customer244,43178,1
TXN0245,Customer245,61894,0
TXN0246,Customer246,37435,1
TXN0247,Customer247,15091,1
TXN0248,Customer248,41620,1
TXN0249,Customer249,84550,0
TXN0250,Customer250,39214,1
TXN0251,Customer251,3637,1
TXN0252,Customer252,77540,0
TXN0253,Customer253,42067,1
TXN0254,Customer254,88189,0
TXN0255,Customer255,78160,0
TXN0256,Customer256,49187,1
TXN0257,Customer257,90524,0
TXN0258,Customer258,49806,1
TXN0259,Customer259,20500,1
TXN0260,Customer260,7358,1
TXN0261,Customer261,39543,1
TXN0262,Customer262,80123,0
TXN0263,Customer263,34712,1
TXN0264,Customer264,6939,1
TXN0265,Customer265,64965,0
TXN0266,Customer266,98293,0
TXN0267,Customer267,25967,1
TXN0268,Customer268,61417,0
TXN0269,Customer269,26478,1
TXN0270,Customer270,33454,1
TXN0271,Customer271,32132,1
TXN0272,Customer272,57278,0
TXN0273,Customer273,94503,0
TXN0274,Customer274,42246,1
TXN0275,Customer275,68887,0
TXN0276,Customer276,78312,0
TXN0277,Customer277,14254,1
TXN0278,Customer278,67182,0
TXN0279,Customer279,79315,0
TXN0280,Customer280,22881,1
TXN0281,Customer281,82410,0
TXN0282,Customer282,52765,0
TXN0283,Customer283,35316,1
TXN0284,Customer284,9667,1
TXN0285,Customer285,34676,1
TXN0286,Customer286,62624,0
TXN0287,Customer287,48613,1
TXN0288,Customer288,19586,1
TXN0289,Customer289,61409,0
TXN0290,Customer290,23079,1
TXN0291,Customer291,27811,1
TXN0292,Customer292,58321,0
TXN0293,Customer293,44447,1
TXN0294,Customer294,20724,1
TXN0295,Customer295,24332,1
TXN0296,Customer296,90210,0
TXN0297,Customer297,84385,0
TXN0298,Customer298,8686,1
TXN0299,Customer299,89269,0
TXN0300,Customer300,19510,1
TXN0301,Customer301,64212,0
TXN0302,Customer302,21988,1
TXN0303,Customer303,62694,0
TXN0304,Customer304,84159,0
TXN0305,Customer305,91473,0
TXN0306,Customer306,62347,0
TXN0307,Customer307,55907,0
TXN0308,Customer308,57692,0
TXN0309,Customer309,54953,0
TXN0310,Customer310,17713,1
TXN0311,Customer311,61985,0
TXN0312,Customer312,97872,0
TXN0313,Customer313,30093,1
TXN0314,Customer314,54999,0
TXN0315,Customer315,22927,1
TXN0316,Customer316,76712,0
TXN0317,Customer317,2868,1
TXN0318,Customer318,70848,0
TXN0319,Customer319,3817,1
TXN0320,Customer320,76667,0
TXN0321,Customer321,23297,1
TXN0322,Customer322,91774,0
TXN0323,Customer323,81147,0
TXN0324,Customer324,29515,1
TXN0325,Customer325,75074,0
TXN0326,Customer326,24664,1
TXN0327,Customer327,92068,0
TXN0328,Customer328,80539,0
TXN0329,Customer329,7319,1
TXN0330,Customer330,41258,1
TXN0331,Customer331,8809,1
TXN0332,Customer332,68525,0
TXN0333,Customer333,87357,0
TXN0334,Customer334,13940,1
TXN0335,Customer335,96265,0
TXN0336,Customer336,66907,0
TXN0337,Customer337,72870,0
TXN0338,Customer338,75529,0
TXN0339,Customer339,37845,1
TXN0340,Customer340,91129,0
TXN0341,Customer341,78299,0
TXN0342,Customer342,64784,0
TXN0343,Customer343,44839,1
TXN0344,Customer344,61402,0
TXN0345,Customer345,62028,0
TXN0346,Customer346,99916,0
TXN0347,Customer347,49576,1
TXN0348,Customer348,1011,1
TXN0349,Customer349,20693,1
TXN0350,Customer350,25718,1
TXN0351,Customer351,49608,1
TXN0352,Customer352,19516,1
TXN0353,Customer353,74480,0
TXN0354,Customer354,86044,0
TXN0355,Customer355,72485,0
TXN0356,Customer356,13287,1
TXN0357,Customer357,5826,1
TXN0358,Customer358,94927,0
TXN0359,Customer359,66695,0
TXN0360,Customer360,30997,1
TXN0361,Customer361,81294,0
TXN0362,Customer362,68306,0
TXN0363,Customer363,75042,0
TXN0364,Customer364,23201,1
TXN0365,Customer365,38292,1
TXN0366,Customer366,2882,1
TXN0367,Customer367,51077,0
TXN0368,Customer368,90140,0
TXN0369,Customer369,59041,0
TXN0370,Customer370,34014,1
TXN0371,Customer371,82998,0
TXN0372,Customer372,40460,1
TXN0373,Customer373,32933,1
TXN0374,Customer374,65173,0
TXN0375,Customer375,62214,0
TXN0376,Customer376,16171,1
TXN0377,Customer377,51601,0
TXN0378,Customer378,61446,0
TXN0379,Customer379,34033,1
TXN0380,Customer380,38007,1
TXN0381,Customer381,67659,0
TXN0382,Customer382,2359,1
TXN0383,Customer383,38415,1
TXN0384,Customer384,18448,1
TXN0385,Customer385,16381,1
TXN0386,Customer386,83741,0
TXN0387,Customer387,66611,0
TXN0388,Customer388,80158,0
TXN0389,Customer389,21024,1
TXN0390,Customer390,45314,1
TXN0391,Customer391,4977,1
TXN0392,Customer392,89745,0
TXN0393,Customer393,33416,1
TXN0394,Customer394,37543,1
TXN0395,Customer395,58745,0
TXN0396,Customer396,41725,1
TXN0397,Customer397,35827,1
TXN0398,Customer398,99473,0
TXN0399,Customer399,87100,0
TXN0400,Customer400,36035,1
TXN0401,Customer401,87453,0
TXN0402,Customer402,87149,0
TXN0403,Customer403,38260,1
TXN0404,Customer404,89008,0
TXN0405,Customer405,51649,0
TXN0406,Customer406,29923,1
TXN0407,Customer407,60185,0
TXN0408,Customer408,86276,0
TXN0409,Customer409,80178,0
TXN0410,Customer410,26254,1
TXN0411,Customer411,35047,1
TXN0412,Customer412,10178,1
TXN0413,Customer413,90903,0
TXN0414,Customer414,81572,0
TXN0415,Customer415,5016,1
TXN0416,Customer416,54202,0
TXN0417,Customer417,75653,0
TXN0418,Customer418,29701,1
TXN0419,Customer419,7503,1
TXN0420,Customer420,45123,1
TXN0421,Customer421,25997,1
TXN0422,Customer422,24961,1
TXN0423,Customer423,26007,1
TXN0424,Customer424,64843,0
TXN0425,Customer425,10285,1
TXN0426,Customer426,68475,0
TXN0427,Customer427,75670,0
TXN0428,Customer428,99130,0
TXN0429,Customer429,97702,0
TXN0430,Customer430,9899,1
TXN0431,Customer431,39008,1
TXN0432,Customer432,19893,1
TXN0433,Customer433,38861,1
TXN0434,Customer434,40701,1
TXN0435,Customer435,2596,1
TXN0436,Customer436,85846,0
TXN0437,Customer437,16850,1
TXN0438,Customer438,47239,1
TXN0439,Customer439,15165,1
TXN0440,Customer440,92868,0
TXN0441,Customer441,89204,0
TXN0442,Customer442,14870,1
TXN0443,Customer443,23550,1
TXN0444,Customer444,18807,1
TXN0445,Customer445,13551,1
TXN0446,Customer446,82503,0
TXN0447,Customer447,62823,0
TXN0448,Customer448,51997,0
TXN0449,Customer449,3753,1
TXN0450,Customer450,7036,1
TXN0451,Customer451,20852,1
TXN0452,Customer452,76960,0
TXN0453,Customer453,70540,0
TXN0454,Customer454,75848,0
TXN0455,Customer455,63166,0
TXN0456,Customer456,31545,1
TXN0457,Customer457,37024,1
TXN0458,Customer458,7953,1
TXN0459,Customer459,76695,0
TXN0460,Customer460,3820,1
TXN0461,Customer461,86367,0
TXN0462,Customer462,58039,0
TXN0463,Customer463,8191,1
TXN0464,Customer464,20550,1
TXN0465,Customer465,32677,1
TXN0466,Customer466,11068,1
TXN0467,Customer467,89603,0
TXN0468,Customer468,11094,1
TXN0469,Customer469,25108,1
TXN0470,Customer470,93603,0
TXN0471,Customer471,10662,1
TXN0472,Customer472,5643,1
TXN0473,Customer473,35277,1
TXN0474,Customer474,96013,0
TXN0475,Customer475,85687,0
TXN0476,Customer476,11709,1
TXN0477,Customer477,65410,0
TXN0478,Customer478,95176,0
TXN0479,Customer479,27295,1
TXN0480,Customer480,76659,0
TXN0481,Customer481,94333,0
TXN0482,Customer482,6005,1
TXN0483,Customer483,87672,0
TXN0484,Customer484,792,1
TXN0485,Customer485,93146,0
TXN0486,Customer486,80756,0
TXN0487,Customer487,40656,1
TXN0488,Customer488,19555,1
TXN0489,Customer489,96747,0
TXN0490,Customer490,90920,0
TXN0491,Customer491,13837,1
TXN0492,Customer492,395,1
TXN0493,Customer493,10840,1
TXN0494,Customer494,2359,1
TXN0495,Customer495,4471,1
TXN0496,Customer496,93167,0
TXN0497,Customer497,68152,0
TXN0498,Customer498,80924,0
TXN0499,Customer499,28195,1
TXN0500,Customer500,29501,1
TXN0501,Customer501,60266,0
TXN0502,Customer502,70429,0
TXN0503,Customer503,38943,1
TXN0504,Customer504,15779,1
TXN0505,Customer505,13292,1
TXN0506,Customer506,65419,0
TXN0507,Customer507,8913,1
TXN0508,Customer508,87214,0
TXN0509,Customer509,55675,0
TXN0510,Customer510,70259,0
TXN0511,Customer511,5078,1
TXN0512,Customer512,91266,0
TXN0513,Customer513,93226,0
TXN0514,Customer514,8680,1
TXN0515,Customer515,45867,1
TXN0516,Customer516,73611,0
TXN0517,Customer517,60437,0
TXN0518,Customer518,17372,1
TXN0519,Customer519,26716,1
TXN0520,Customer520,54358,0
TXN0521,Customer521,10936,1
TXN0522,Customer522,41316,1
TXN0523,Customer523,20501,1
TXN0524,Customer524,71733,0
TXN0525,Customer525,98457,0
TXN0526,Customer526,56125,0
TXN0527,Customer527,90143,0
TXN0528,Customer528,49159,1
TXN0529,Customer529,13071,1
TXN0530,Customer530,57042,0
TXN0531,Customer531,58800,0
TXN0532,Customer532,37451,1
TXN0533,Customer533,97223,0
TXN0534,Customer534,13358,1
TXN0535,Customer535,7408,1
TXN0536,Customer536,92806,0
TXN0537,Customer537,47903,1
TXN0538,Customer538,10548,1
TXN0539,Customer539,60313,0
TXN0540,Customer540,6689,1
TXN0541,Customer541,23121,1
TXN0542,Customer542,24296,1
TXN0543,Customer543,44485,1
TXN0544,Customer544,75913,0
TXN0545,Customer545,70217,0
TXN0546,Customer546,83152,0
TXN0547,Customer547,27634,1
TXN0548,Customer548,90661,0
TXN0549,Customer549,14320,1
TXN0550,Customer550,22135,1
TXN0551,Customer551,71045,0
TXN0552,Customer552,42534,1
TXN0553,Customer553,59589,0
TXN0554,Customer554,18146,1
TXN0555,Customer555,99161,0
TXN0556,Customer556,70346,0
TXN0557,Customer557,35144,1
TXN0558,Customer558,28356,1
TXN0559,Customer559,69818,0
TXN0560,Customer560,41338,1
TXN0561,Customer561,79616,0
TXN0562,Customer562,25091,1
TXN0563,Customer563,59185,0
TXN0564,Customer564,96797,0
TXN0565,Customer565,4945,1
TXN0566,Customer566,34077,1
TXN0567,Customer567,6356,1
TXN0568,Customer568,4838,1
TXN0569,Customer569,94841,0
TXN0570,Customer570,49076,1
TXN0571,Customer571,2755,1
TXN0572,Customer572,3206,1
TXN0573,Customer573,7706,1
TXN0574,Customer574,42651,1
TXN0575,Customer575,72611,0
TXN0576,Customer576,72913,0
TXN0577,Customer577,80466,0
TXN0578,Customer578,13178,1
TXN0579,Customer579,7082,1
TXN0580,Customer580,9260,1
TXN0581,Customer581,56309,0
TXN0582,Customer582,22137,1
TXN0583,Customer583,35576,1
TXN0584,Customer584,48239,1
TXN0585,Customer585,29397,1
TXN0586,Customer586,7036,1
TXN0587,Customer587,55357,0
TXN0588,Customer588,25017,1
TXN0589,Customer589,20334,1
TXN0590,Customer590,92248,0
TXN0591,Customer591,98470,0
TXN0592,Customer592,55946,0
TXN0593,Customer593,94497,0
TXN0594,Customer594,53185,0
TXN0595,Customer595,63866,0
TXN0596,Customer596,52274,0
TXN0597,Customer597,94967,0
TXN0598,Customer598,14198,1
TXN0599,Customer599,14598,1
TXN0600,Customer600,52775,0
TXN0601,Customer601,81820,0
TXN0602,Customer602,82360,0
TXN0603,Customer603,35023,1
TXN0604,Customer604,6245,1
TXN0605,Customer605,77160,0
TXN0606,Customer606,25664,1
TXN0607,Customer607,72688,0
TXN0608,Customer608,53997,0
TXN0609,Customer609,87854,0
TXN0610,Customer610,55423,0
TXN0611,Customer611,3791,1
TXN0612,Customer612,17608,1
TXN0613,Customer613,10747,1
TXN0614,Customer614,78113,0
TXN0615,Customer615,96363,0
TXN0616,Customer616,83473,0
TXN0617,Customer617,35969,1
TXN0618,Customer618,35049,1
TXN0619,Customer619,67073,0
TXN0620,Customer620,45632,1
TXN0621,Customer621,45601,1
TXN0622,Customer622,63661,0
TXN0623,Customer623,60008,0
TXN0624,Customer624,89679,0
TXN0625,Customer625,62652,0
TXN0626,Customer626,93258,0
TXN0627,Customer627,24934,1
TXN0628,Customer628,16158,1
TXN0629,Customer629,20607,1
TXN0630,Customer630,37189,1
TXN0631,Customer631,7109,1
TXN0632,Customer632,55756,0
TXN0633,Customer633,17859,1
TXN0634,Customer634,34750,1
TXN0635,Customer635,97772,0
TXN0636,Customer636,55189,0
TXN0637,Customer637,86108,0
TXN0638,Customer638,6263,1
TXN0639,Customer639,57318,0
TXN0640,Customer640,31687,1
TXN0641,Customer641,23867,1
TXN0642,Customer642,20997,1
TXN0643,Customer643,80504,0
TXN0644,Customer644,50186,0
TXN0645,Customer645,43232,1
TXN0646,Customer646,1289,1
TXN0647,Customer647,17719,1
TXN0648,Customer648,38261,1
TXN0649,Customer649,14830,1
TXN0650,Customer650,86485,0
TXN0651,Customer651,4906,1
TXN0652,Customer652,86481,0
TXN0653,Customer653,76801,0
TXN0654,Customer654,70919,0
TXN0655,Customer655,4872,1
TXN0656,Customer656,51622,0
TXN0657,Customer657,39263,1
TXN0658,Customer658,4304,1
TXN0659,Customer659,10656,1
TXN0660,Customer660,86622,0
TXN0661,Customer661,61031,0
TXN0662,Customer662,28775,1
TXN0663,Customer663,18799,1
TXN0664,Customer664,98975,0
TXN0665,Customer665,679,1
TXN0666,Customer666,78036,0
TXN0667,Customer667,20577,1
TXN0668,Customer668,67977,0
TXN0669,Customer669,78504,0
TXN0670,Customer670,89199,0
TXN0671,Customer671,47848,1
TXN0672,Customer672,19458,1
TXN0673,Customer673,49306,1
TXN0674,Customer674,81734,0
TXN0675,Customer675,48633,1
TXN0676,Customer676,80630,0
TXN0677,Customer677,99433,0
TXN0678,Customer678,27874,1
TXN0679,Customer679,21596,1
TXN0680,Customer680,73354,0
TXN0681,Customer681,41266,1
TXN0682,Customer682,33075,1
TXN0683,Customer683,54113,0
TXN0684,Customer684,30289,1
TXN0685,Customer685,6808,1
TXN0686,Customer686,23120,1
TXN0687,Customer687,85025,0
TXN0688,Customer688,61295,0
TXN0689,Customer689,54287,0
TXN0690,Customer690,1589,1
TXN0691,Customer691,1162,1
TXN0692,Customer692,31010,1
TXN0693,Customer693,72095,0
TXN0694,Customer694,91466,0
TXN0695,Customer695,14339,1
TXN0696,Customer696,38887,1
TXN0697,Customer697,5607,1
TXN0698,Customer698,43306,1
TXN0699,Customer699,39247,1
TXN0700,Customer700,4084,1
TXN0701,Customer701,35416,1
TXN0702,Customer702,96985,0
TXN0703,Customer703,47638,1
TXN0704,Customer704,95842,0
TXN0705,Customer705,5253,1
TXN0706,Customer706,20194,1
TXN0707,Customer707,88257,0
TXN0708,Customer708,2713,1
TXN0709,Customer709,31750,1
TXN0710,Customer710,18014,1
TXN0711,Customer711,44941,1
TXN0712,Customer712,45251,1
TXN0713,Customer713,21152,1
TXN0714,Customer714,44319,1
TXN0715,Customer715,14899,1
TXN0716,Customer716,91685,0
TXN0717,Customer717,52172,0
TXN0718,Customer718,44544,1
TXN0719,Customer719,1411,1
TXN0720,Customer720,14173,1
TXN0721,Customer721,19487,1
TXN0722,Customer722,78826,0
TXN0723,Customer723,85507,0
TXN0724,Customer724,40109,1
TXN0725,Customer725,89531,0
TXN0726,Customer726,61883,0
TXN0727,Customer727,62428,0
TXN0728,Customer728,28741,1
TXN0729,Customer729,22311,1
TXN0730,Customer730,96130,0
TXN0731,Customer731,92036,0
TXN0732,Customer732,40478,1
TXN0733,Customer733,60584,0
TXN0734,Customer734,23584,1
TXN0735,Customer735,4399,1
TXN0736,Customer736,91729,0
TXN0737,Customer737,40845,1
TXN0738,Customer738,10141,1
TXN0739,Customer739,83730,0
TXN0740,Customer740,71792,0
TXN0741,Customer741,85270,0
TXN0742,Customer742,94936,0
TXN0743,Customer743,88787,0
TXN0744,Customer744,51626,0
TXN0745,Customer745,80480,0
TXN0746,Customer746,5534,1
TXN0747,Customer747,22889,1
TXN0748,Customer748,73698,0
TXN0749,Customer749,4959,1
TXN0750,Customer750,29860,1
TXN0751,Customer751,31261,1
TXN0752,Customer752,62849,0
TXN0753,Customer753,38374,1
TXN0754,Customer754,72058,0
TXN0755,Customer755,89138,0
TXN0756,Customer756,35564,1
TXN0757,Customer757,32128,1
TXN0758,Customer758,6542,1
TXN0759,Customer759,9359,1
TXN0760,Customer760,28730,1
TXN0761,Customer761,60299,0
TXN0762,Customer762,45007,1
TXN0763,Customer763,73723,0
TXN0764,Customer764,75633,0
TXN0765,Customer765,37606,1
TXN0766,Customer766,68323,0
TXN0767,Customer767,24708,1
TXN0768,Customer768,19707,1
TXN0769,Customer769,84265,0
TXN0770,Customer770,88365,0
TXN0771,Customer771,23078,1
TXN0772,Customer772,82364,0
TXN0773,Customer773,12929,1
TXN0774,Customer774,71702,0
TXN0775,Customer775,60560,0
TXN0776,Customer776,89011,0
TXN0777,Customer777,99678,0
TXN0778,Customer778,74168,0
TXN0779,Customer779,50418,0
TXN0780,Customer780,33196,1
TXN0781,Customer781,9320,1
TXN0782,Customer782,12327,1
TXN0783,Customer783,76663,0
TXN0784,Customer784,28019,1
TXN0785,Customer785,91430,0
TXN0786,Customer786,63216,0
TXN0787,Customer787,77338,0
TXN0788,Customer788,99565,0
TXN0789,Customer789,71332,0
TXN0790,Customer790,80837,0
TXN0791,Customer791,17901,1
TXN0792,Customer792,34788,1
TXN0793,Customer793,84678,0
TXN0794,Customer794,52265,0
TXN0795,Customer795,35777,1
TXN0796,Customer796,95859,0
TXN0797,Customer797,35011,1
TXN0798,Customer798,81536,0
TXN0799,Customer799,63261,0
TXN0800,Customer800,67802,0
TXN0801,Customer801,22918,1
TXN0802,Customer802,37390,1
TXN0803,Customer803,28317,1
TXN0804,Customer804,42580,1
TXN0805,Customer805,64487,0
TXN0806,Customer806,54026,0
TXN0807,Customer807,76330,0
TXN0808,Customer808,38701,1
TXN0809,Customer809,61494,0
TXN0810,Customer810,40527,1
TXN0811,Customer811,36258,1
TXN0812,Customer812,38105,1
TXN0813,Customer813,36117,1
TXN0814,Customer814,88878,0
TXN0815,Customer815,82262,0
TXN0816,Customer816,36548,1
TXN0817,Customer817,68682,0
TXN0818,Customer818,39400,1
TXN0819,Customer819,61752,0
TXN0820,Customer820,81176,0
TXN0821,Customer821,66792,0
TXN0822,Customer822,42392,1
TXN0823,Customer823,80482,0
TXN0824,Customer824,95807,0
TXN0825,Customer825,94336,0
TXN0826,Customer826,83454,0
TXN0827,Customer827,73816,0
TXN0828,Customer828,64235,0
TXN0829,Customer829,56428,0
TXN0830,Customer830,89297,0
TXN0831,Customer831,42650,1
TXN0832,Customer832,44744,1
TXN0833,Customer833,66803,0
TXN0834,Customer834,57297,0
TXN0835,Customer835,98279,0
TXN0836,Customer836,70292,0
TXN0837,Customer837,8603,1
TXN0838,Customer838,57445,0
TXN0839,Customer839,30948,1
TXN0840,Customer840,74371,0
TXN0841,Customer841,95416,0
TXN0842,Customer842,56936,0
TXN0843,Customer843,46190,1
TXN0844,Customer844,73709,0
TXN0845,Customer845,70597,0
TXN0846,Customer846,83016,0
TXN0847,Customer847,52211,0
TXN0848,Customer848,42733,1
TXN0849,Customer849,13503,1
TXN0850,Customer850,85939,0
TXN0851,Customer851,2807,1
TXN0852,Customer852,73530,0
TXN0853,Customer853,83068,0
TXN0854,Customer854,18038,1
TXN0855,Customer855,46831,1
TXN0856,Customer856,79056,0
TXN0857,Customer857,53617,0
TXN0858,Customer858,19447,1
TXN0859,Customer859,61068,0
TXN0860,Customer860,63291,0
TXN0861,Customer861,53394,0
TXN0862,Customer862,38514,1
TXN0863,Customer863,31249,1
TXN0864,Customer864,80692,0
TXN0865,Customer865,47900,1
TXN0866,Customer866,87083,0
TXN0867,Customer867,13722,1
TXN0868,Customer868,50265,0
TXN0869,Customer869,86753,0
TXN0870,Customer870,89770,0
TXN0871,Customer871,48424,1
TXN0872,Customer872,89592,0
TXN0873,Customer873,27902,1
